frame,cpu_ms,gpu_pass_0,gpu_pass_1,gpu_pass_2
,0.144,0.293,0.001
1,10.793,,,
,0.145,0.354,0.000
2,6.834,,,
,0.153,0.345,0.001
3,15.974,,,
,0.144,0.346,0.002
4,4.472,,,
,0.144,0.346,0.000
5,6.742,,,
,0.145,0.348,0.002
6,4.448,,,
,0.144,0.342,0.000
7,7.964,,,
,0.141,0.338,0.001
8,6.910,,,
,0.139,0.340,0.003
9,2.618,,,
,0.145,0.342,0.001
10,6.029,,,
,0.141,0.337,0.002
11,5.677,,,
,0.149,0.340,0.000
12,2.922,,,
,0.148,0.347,0.002
13,3.966,,,
,0.139,0.340,0.002
14,3.204,,,
,0.139,0.340,0.002
15,2.764,,,
,0.149,0.344,0.002
16,3.153,,,
,0.139,0.340,0.002
17,1.647,,,
,0.142,0.339,0.002
18,2.463,,,
,0.138,0.326,0.001
19,2.287,,,
,0.140,0.338,0.000
20,2.196,,,
,0.139,0.338,0.003
21,2.764,,,
,0.138,0.338,0.000
22,2.719,,,
,0.137,0.340,0.001
23,2.205,,,
,0.141,0.338,0.000
24,2.441,,,
,0.139,0.338,0.002
25,2.504,,,
,0.138,0.346,0.001
26,2.179,,,
,0.138,0.340,0.000
27,2.845,,,
,0.138,0.339,0.000
28,2.276,,,
,0.138,0.338,0.002
29,3.144,,,
,0.139,0.340,0.001
30,2.535,,,
,0.140,0.342,0.002
31,2.993,,,
,0.139,0.338,0.001
32,2.746,,,
,0.138,0.338,0.002
33,3.640,,,
,0.140,0.342,0.002
34,2.841,,,
,0.140,0.342,0.004
35,2.718,,,
,0.139,0.339,0.001
36,2.776,,,
,0.138,0.338,0.000
37,3.686,,,
,0.141,0.337,0.002
38,2.259,,,
,0.140,0.338,0.000
39,5.520,,,
,0.141,0.337,0.002
40,1.544,,,
,0.142,0.337,0.000
41,2.064,,,
,0.139,0.339,0.001
42,2.169,,,
,0.141,0.340,0.001
43,4.443,,,
,0.141,0.343,0.001
44,5.692,,,
,0.138,0.336,0.001
45,4.997,,,
,0.146,0.338,0.002
46,5.684,,,
,0.140,0.340,0.002
47,5.502,,,
,0.143,0.343,0.002
48,6.270,,,
,0.138,0.336,0.000
49,5.026,,,
,0.139,0.338,0.001
50,4.178,,,
,0.144,0.342,0.006
51,3.034,,,
,0.139,0.337,0.001
52,5.052,,,
,0.139,0.337,0.002
53,3.822,,,
,0.142,0.346,0.002
54,3.931,,,
,0.142,0.344,0.003
55,4.781,,,
,0.139,0.340,0.002
56,6.261,,,
,0.146,0.343,0.002
57,5.960,,,
,0.139,0.340,0.002
58,7.143,,,
,0.138,0.336,0.001
59,5.753,,,
,0.145,0.344,0.002
60,3.201,,,
,0.138,0.340,0.001
61,6.559,,,
,0.143,0.338,0.000
62,5.777,,,
,0.139,0.337,0.002
63,4.059,,,
,0.147,0.344,0.001
64,5.144,,,
,0.140,0.340,0.001
65,3.648,,,
,0.140,0.344,0.002
66,4.247,,,
,0.143,0.352,0.001
67,4.778,,,
,0.139,0.335,0.000
68,3.537,,,
,0.144,0.338,0.002
69,4.827,,,
,0.146,0.343,0.003
70,4.821,,,
,0.143,0.339,0.001
71,4.180,,,
,0.143,0.343,0.002
72,5.410,,,
,0.139,0.338,0.002
73,4.292,,,
,0.141,0.341,0.001
74,3.711,,,
,0.137,0.338,0.001
75,2.782,,,
,0.148,0.341,0.002
76,5.916,,,
,0.138,0.336,0.002
77,4.823,,,
,0.142,0.341,0.001
78,4.940,,,
,0.139,0.340,0.002
79,5.218,,,
,0.142,0.338,0.002
80,5.219,,,
,0.139,0.340,0.002
81,2.912,,,
,0.141,0.335,0.000
82,3.377,,,
,0.144,0.343,0.002
83,5.283,,,
,0.145,0.344,0.000
84,3.626,,,
,0.144,0.348,0.000
85,3.410,,,
,0.149,0.348,0.001
86,4.665,,,
,0.141,0.346,0.001
87,5.341,,,
,0.139,0.342,0.002
88,4.676,,,
,0.140,0.338,0.002
89,4.224,,,
,0.147,0.343,0.002
90,3.741,,,
,0.152,0.343,0.002
91,3.866,,,
,0.145,0.346,0.002
92,6.063,,,
,0.139,0.339,0.002
93,4.256,,,
,0.154,0.338,0.002
94,4.876,,,
,0.138,0.346,0.000
95,5.854,,,
,0.138,0.338,0.000
96,4.566,,,
,0.140,0.348,0.002
97,9.050,,,
,0.140,0.338,0.000
98,9.113,,,
,0.138,0.346,0.002
99,7.548,,,
,0.145,0.352,0.001
100,13.091,,,
,0.139,0.342,0.002
101,8.278,,,
,0.141,0.342,0.002
102,7.070,,,
,0.139,0.340,0.001
103,5.931,,,
,0.139,0.338,0.000
104,6.093,,,
,0.139,0.342,0.002
105,5.966,,,
,0.143,0.338,0.002
106,4.259,,,
,0.139,0.344,0.002
107,7.130,,,
,0.140,0.341,0.002
108,9.157,,,
